2026-05-30 16:48:17.698 +05:30 [INF] ApiGateway | Starting API Gateway...
2026-05-30 16:48:18.328 +05:30 [INF] ApiGateway | API Gateway started successfully on port 5000
2026-05-30 16:48:18.810 +05:30 [INF] ApiGateway | Now listening on: http://localhost:5000
2026-05-30 16:48:18.817 +05:30 [INF] ApiGateway | Application started. Press Ctrl+C to shut down.
2026-05-30 16:48:18.821 +05:30 [INF] ApiGateway | Hosting environment: Development
2026-05-30 16:48:18.824 +05:30 [INF] ApiGateway | Content root path: C:\Users\2492212\OneDrive - Cognizant\Desktop\final project\ApiGateway
2026-05-30 16:52:22.121 +05:30 [INF] ApiGateway | Application is shutting down...
2026-05-30 17:15:59.297 +05:30 [INF] ApiGateway | Starting API Gateway...
2026-05-30 17:16:00.001 +05:30 [INF] ApiGateway | API Gateway started successfully on port 5000
2026-05-30 17:16:00.514 +05:30 [INF] ApiGateway | Now listening on: http://localhost:5000
2026-05-30 17:16:00.523 +05:30 [INF] ApiGateway | Application started. Press Ctrl+C to shut down.
2026-05-30 17:16:00.528 +05:30 [INF] ApiGateway | Hosting environment: Development
2026-05-30 17:16:00.532 +05:30 [INF] ApiGateway | Content root path: C:\Users\2492212\OneDrive - Cognizant\Desktop\final project\ApiGateway
2026-05-30 17:28:07.294 +05:30 [INF] ApiGateway | Starting API Gateway...
2026-05-30 17:28:07.914 +05:30 [INF] ApiGateway | API Gateway started successfully on port 5000
2026-05-30 17:28:08.360 +05:30 [INF] ApiGateway | Now listening on: http://localhost:5000
2026-05-30 17:28:08.367 +05:30 [INF] ApiGateway | Application started. Press Ctrl+C to shut down.
2026-05-30 17:28:08.371 +05:30 [INF] ApiGateway | Hosting environment: Development
2026-05-30 17:28:08.375 +05:30 [INF] ApiGateway | Content root path: C:\Users\2492212\OneDrive - Cognizant\Desktop\final project\ApiGateway
2026-05-30 17:29:39.838 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-05-30 17:29:39.847 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000001, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/auth/login'
2026-05-30 17:29:39.878 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000001, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-05-30 17:29:39.911 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000001, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-05-30 17:29:39.918 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000001, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/auth/login'.'
2026-05-30 17:29:39.924 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000001, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-05-30 17:29:39.939 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000001, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-05-30 17:29:42.629 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000001, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5001/api/auth/login.'
2026-05-30 17:29:42.634 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000001, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-05-30 17:29:42.650 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000001, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-05-30 17:29:42.661 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-05-30 17:29:52.342 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-05-30 17:29:52.349 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/rooms'
2026-05-30 17:29:52.353 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/rooms/{everything}'
2026-05-30 17:29:52.357 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/rooms/{everything}'
2026-05-30 17:29:52.361 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000002, previousRequestId: No PreviousRequestId, message: 'The path '/api/rooms' is an authenticated route! AuthenticationMiddleware checking if client is authenticated...'
2026-05-30 17:29:52.368 +05:30 [WRN] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000002, previousRequestId: No PreviousRequestId, message: 'Client has NOT been authenticated for path '/api/rooms' and pipeline error set. Request for authenticated route '/api/rooms' was unauthenticated;'
2026-05-30 17:29:52.373 +05:30 [WRN] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000002, previousRequestId: No PreviousRequestId, message: 'Error Code: UnauthenticatedError Message: Request for authenticated route '/api/rooms' was unauthenticated errors found in ResponderMiddleware. Setting error response for request path:/api/rooms, request method: POST'
2026-05-30 17:29:52.378 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-05-30 17:30:57.465 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000003, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-05-30 17:30:57.470 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000003, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/auth/login'
2026-05-30 17:30:57.475 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000003, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-05-30 17:30:57.481 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000003, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-05-30 17:30:57.483 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000003, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/auth/login'.'
2026-05-30 17:30:57.486 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000003, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-05-30 17:30:57.490 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000003, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-05-30 17:30:57.745 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000003, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5001/api/auth/login.'
2026-05-30 17:30:57.748 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000003, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-05-30 17:30:57.752 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000003, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-05-30 17:30:57.755 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQ9:00000003, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-05-30 17:38:28.992 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQA:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-05-30 17:38:28.996 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQA:00000001, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/hotels'
2026-05-30 17:38:29.000 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQA:00000001, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/hotels/{everything}'
2026-05-30 17:38:29.011 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQA:00000001, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/hotels/{everything}'
2026-05-30 17:38:29.015 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQA:00000001, previousRequestId: No PreviousRequestId, message: 'The path '/api/hotels' is an authenticated route! AuthenticationMiddleware checking if client is authenticated...'
2026-05-30 17:38:29.019 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQA:00000001, previousRequestId: No PreviousRequestId, message: 'Client has been authenticated for path '/api/hotels' by 'AuthenticationTypes.Federation' scheme.'
2026-05-30 17:38:29.022 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQA:00000001, previousRequestId: No PreviousRequestId, message: 'route is authenticated scopes must be checked'
2026-05-30 17:38:29.026 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQA:00000001, previousRequestId: No PreviousRequestId, message: 'user scopes is authorized calling next authorization checks'
2026-05-30 17:38:29.028 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQA:00000001, previousRequestId: No PreviousRequestId, message: '/api/hotels/{everything} route does not require user to be authorized'
2026-05-30 17:38:29.032 +05:30 [DBG] ApiGateway | requestId: 0HNLU8BMQ5PQA:00000001, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5002/api/hotels'
2026-05-30 17:38:29.078 +05:30 [INF] ApiGateway | requestId: 0HNLU8BMQ5PQA:00000001, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5002/api/hotels.'
