2026-06-11 16:14:59.476 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK2:00000001, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-11 16:14:59.478 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK2:00000001, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-11 16:14:59.480 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK2:00000001, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Auth/login'.'
2026-06-11 16:14:59.486 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK2:00000001, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-11 16:14:59.488 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK2:00000001, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-06-11 16:14:59.669 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK3:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-11 16:14:59.671 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK3:00000001, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Auth/login'
2026-06-11 16:14:59.673 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK3:00000001, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-11 16:14:59.675 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK3:00000001, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-11 16:14:59.677 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK3:00000001, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Auth/login'.'
2026-06-11 16:14:59.679 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK3:00000001, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-11 16:14:59.680 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK3:00000001, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-06-11 16:15:02.490 +05:30 [WRN] ApiGateway | requestId: 0HNM7KPSITGK1:00000001, previousRequestId: No PreviousRequestId, message: '400 (Bad Request) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-11 16:15:02.490 +05:30 [WRN] ApiGateway | requestId: 0HNM7KPSITGK3:00000001, previousRequestId: No PreviousRequestId, message: '400 (Bad Request) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-11 16:15:02.490 +05:30 [WRN] ApiGateway | requestId: 0HNM7KPSITGK2:00000001, previousRequestId: No PreviousRequestId, message: '400 (Bad Request) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-11 16:15:02.490 +05:30 [WRN] ApiGateway | requestId: 0HNM7KPSITGK0:00000001, previousRequestId: No PreviousRequestId, message: '400 (Bad Request) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-11 16:15:02.490 +05:30 [WRN] ApiGateway | requestId: 0HNM7KPSITGJU:00000002, previousRequestId: No PreviousRequestId, message: '400 (Bad Request) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-11 16:15:02.490 +05:30 [WRN] ApiGateway | requestId: 0HNM7KPSITGJV:00000001, previousRequestId: No PreviousRequestId, message: '400 (Bad Request) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-11 16:15:02.493 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK1:00000001, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-11 16:15:02.496 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK3:00000001, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-11 16:15:02.497 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK2:00000001, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-11 16:15:02.499 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK0:00000001, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-11 16:15:02.501 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGJU:00000002, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-11 16:15:02.503 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGJV:00000001, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-11 16:15:02.531 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK1:00000001, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-11 16:15:02.531 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK0:00000001, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-11 16:15:02.531 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGJV:00000001, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-11 16:15:02.531 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK3:00000001, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-11 16:15:02.531 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGJU:00000002, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-11 16:15:02.531 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK2:00000001, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-11 16:15:02.557 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK1:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-11 16:15:02.557 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK0:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-11 16:15:02.557 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK3:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-11 16:15:02.557 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGJV:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-11 16:15:02.558 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGJU:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-11 16:15:02.560 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK2:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-11 16:15:02.591 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK0:00000003, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-11 16:15:02.578 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK3:00000003, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-11 16:15:02.578 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK1:00000003, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-11 16:15:02.609 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK0:00000003, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Auth/login'
2026-06-11 16:15:02.611 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK3:00000003, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Auth/login'
