2026-06-18 12:47:21.019 +05:30 [INF] ApiGateway | Starting API Gateway...
2026-06-18 12:47:26.451 +05:30 [INF] ApiGateway | API Gateway started successfully on port 5000
2026-06-18 12:47:28.771 +05:30 [INF] ApiGateway | Now listening on: http://localhost:5000
2026-06-18 12:47:29.248 +05:30 [INF] ApiGateway | Application started. Press Ctrl+C to shut down.
2026-06-18 12:47:29.350 +05:30 [INF] ApiGateway | Hosting environment: Development
2026-06-18 12:47:29.463 +05:30 [INF] ApiGateway | Content root path: C:\Users\2492212\OneDrive - Cognizant\Desktop\sddr\fincl\ApiGateway
2026-06-18 12:47:54.043 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-18 12:47:54.053 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/auth/login'
2026-06-18 12:47:54.085 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-18 12:47:54.106 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-18 12:47:54.110 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000002, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/auth/login'.'
2026-06-18 12:47:54.116 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000002, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-18 12:47:54.128 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-06-18 12:47:58.038 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000002, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-18 12:47:58.040 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000002, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-18 12:47:58.059 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000002, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-18 12:47:58.070 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-18 12:48:18.775 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000004, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-18 12:48:18.794 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000004, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/auth/login'
2026-06-18 12:48:18.800 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000004, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-18 12:48:18.803 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000004, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-18 12:48:18.805 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000004, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/auth/login'.'
2026-06-18 12:48:18.807 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000004, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-18 12:48:18.810 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000004, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-06-18 12:48:19.162 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000004, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-18 12:48:19.165 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000004, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-18 12:48:19.168 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000004, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-18 12:48:19.170 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000004, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-18 12:48:57.954 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000006, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-18 12:48:57.956 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000006, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/auth/register'
2026-06-18 12:48:57.958 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000006, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-18 12:48:57.960 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000006, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-18 12:48:57.962 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000006, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/auth/register'.'
2026-06-18 12:48:57.964 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000006, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-18 12:48:57.966 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000006, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/register'
2026-06-18 12:48:58.458 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000006, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5001/api/auth/register.'
2026-06-18 12:48:58.461 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000006, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-18 12:48:58.462 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000006, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-18 12:48:58.464 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000006, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-18 12:53:03.006 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000008, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-18 12:53:03.012 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000008, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/auth/users'
2026-06-18 12:53:03.015 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000008, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-18 12:53:03.019 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000008, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-18 12:53:03.022 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000008, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/auth/users'.'
2026-06-18 12:53:03.025 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000008, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-18 12:53:03.036 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000008, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/users'
2026-06-18 12:53:03.236 +05:30 [INF] ApiGateway | requestId: 0HNMD16RBJRI5:00000008, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5001/api/auth/users.'
2026-06-18 12:53:03.239 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000008, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-18 12:53:03.243 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000008, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-18 12:53:03.247 +05:30 [DBG] ApiGateway | requestId: 0HNMD16RBJRI5:00000008, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-18 17:00:45.004 +05:30 [INF] ApiGateway | Starting API Gateway...
2026-06-18 17:00:49.088 +05:30 [INF] ApiGateway | API Gateway started successfully on port 5000
2026-06-18 17:00:50.663 +05:30 [INF] ApiGateway | Now listening on: http://localhost:5000
2026-06-18 17:00:51.014 +05:30 [INF] ApiGateway | Application started. Press Ctrl+C to shut down.
2026-06-18 17:00:51.017 +05:30 [INF] ApiGateway | Hosting environment: Development
2026-06-18 17:00:51.025 +05:30 [INF] ApiGateway | Content root path: C:\Users\2492212\OneDrive - Cognizant\Desktop\sddr\fincl\ApiGateway
2026-06-18 17:02:35.321 +05:30 [DBG] ApiGateway | requestId: 0HNMD5L5HRBK0:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-18 17:02:35.329 +05:30 [DBG] ApiGateway | requestId: 0HNMD5L5HRBK0:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/auth/login'
2026-06-18 17:02:35.357 +05:30 [DBG] ApiGateway | requestId: 0HNMD5L5HRBK0:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-18 17:02:35.379 +05:30 [INF] ApiGateway | requestId: 0HNMD5L5HRBK0:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-18 17:02:35.384 +05:30 [INF] ApiGateway | requestId: 0HNMD5L5HRBK0:00000002, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/auth/login'.'
2026-06-18 17:02:35.390 +05:30 [INF] ApiGateway | requestId: 0HNMD5L5HRBK0:00000002, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-18 17:02:35.402 +05:30 [DBG] ApiGateway | requestId: 0HNMD5L5HRBK0:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-06-18 17:02:38.902 +05:30 [INF] ApiGateway | requestId: 0HNMD5L5HRBK0:00000002, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-18 17:02:38.904 +05:30 [DBG] ApiGateway | requestId: 0HNMD5L5HRBK0:00000002, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-18 17:02:38.917 +05:30 [DBG] ApiGateway | requestId: 0HNMD5L5HRBK0:00000002, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-18 17:02:38.927 +05:30 [DBG] ApiGateway | requestId: 0HNMD5L5HRBK0:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
2026-06-18 17:06:15.512 +05:30 [DBG] ApiGateway | requestId: 0HNMD5L5HRBK0:00000004, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-18 17:06:15.526 +05:30 [DBG] ApiGateway | requestId: 0HNMD5L5HRBK0:00000004, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/auth/register'
2026-06-18 17:06:15.528 +05:30 [DBG] ApiGateway | requestId: 0HNMD5L5HRBK0:00000004, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-18 17:06:15.530 +05:30 [INF] ApiGateway | requestId: 0HNMD5L5HRBK0:00000004, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-18 17:06:15.531 +05:30 [INF] ApiGateway | requestId: 0HNMD5L5HRBK0:00000004, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/auth/register'.'
2026-06-18 17:06:15.533 +05:30 [INF] ApiGateway | requestId: 0HNMD5L5HRBK0:00000004, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-18 17:06:15.535 +05:30 [DBG] ApiGateway | requestId: 0HNMD5L5HRBK0:00000004, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/register'
2026-06-18 17:06:16.030 +05:30 [INF] ApiGateway | requestId: 0HNMD5L5HRBK0:00000004, previousRequestId: No PreviousRequestId, message: '200 (OK) status code of request URI: http://localhost:5001/api/auth/register.'
2026-06-18 17:06:16.032 +05:30 [DBG] ApiGateway | requestId: 0HNMD5L5HRBK0:00000004, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-18 17:06:16.034 +05:30 [DBG] ApiGateway | requestId: 0HNMD5L5HRBK0:00000004, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-18 17:06:16.037 +05:30 [DBG] ApiGateway | requestId: 0HNMD5L5HRBK0:00000004, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
